scene_id,sowing date,date,min,max,average,std,variance,median
farm6,2022-11-18,2022-12-10,0.4133,0.5644,0.4879,0.0395,0.0016,0.4845
farm6,2022-11-18,2023-01-12,0.5193,0.6471,0.5946,0.0253,0.0006,0.5938
farm6,2022-11-18,2023-02-03,0.6718,0.7657,0.7341,0.0204,0.0004,0.7368
farm6,2022-11-18,2023-02-13,0.6757,0.7916,0.7604,0.0223,0.0005,0.761
farm6,2022-11-18,2023-02-26,0.5857,0.6908,0.6634,0.0188,0.0004,0.6685
farm6,2022-11-18,2023-03-08,0.5448,0.6497,0.6197,0.0191,0.0004,0.6217
farm6,2022-11-18,2023-03-30,0.2931,0.4486,0.3392,0.0324,0.0011,0.3357
farm6,2022-11-18,2023-04-09,0.1942,0.3798,0.2372,0.0349,0.0012,0.2297
farm7,2020-11-05,2020-11-05,0.1163,0.5177,0.2648,0.1166,0.0136,0.2351
farm7,2020-11-05,2020-11-13,0.1156,0.4333,0.2247,0.0787,0.0062,0.217
farm7,2020-11-05,2020-11-28,0.1685,0.5398,0.3282,0.0981,0.0096,0.346
farm7,2020-11-05,2020-12-08,0.233,0.4458,0.3646,0.0578,0.0033,0.3771
farm7,2020-11-05,2020-12-20,0.4337,0.6853,0.5932,0.0555,0.0031,0.5895
farm7,2020-11-05,2021-02-01,0.4468,0.663,0.617,0.0549,0.003,0.6387
farm7,2020-11-05,2021-02-11,0.4729,0.6759,0.6335,0.0485,0.0024,0.6554
farm7,2020-11-05,2021-03-05,0.3867,0.7121,0.6169,0.0865,0.0075,0.6449
farm7,2020-11-05,2021-03-15,0.3384,0.4924,0.4434,0.0341,0.0012,0.452
farm7,2020-11-05,2021-03-28,0.2776,0.3556,0.308,0.016,0.0003,0.3079
farm7,2020-11-05,2021-04-07,0.2198,0.3763,0.2551,0.029,0.0008,0.2444
farm7,2020-11-05,2021-04-19,0.1548,0.3862,0.2133,0.0531,0.0028,0.1923
farm7,2020-11-05,2021-04-29,0.1305,0.2889,0.1798,0.0378,0.0014,0.1656
farm7,2021-11-13,2021-11-13,0.1078,0.5672,0.2383,0.1402,0.0197,0.1611
farm7,2021-11-13,2021-11-23,0.1199,0.4498,0.2333,0.096,0.0092,0.1827
farm7,2021-11-13,2021-12-05,0.1651,0.307,0.2237,0.0285,0.0008,0.2172
farm7,2021-11-13,2021-12-25,0.4132,0.4937,0.4564,0.0194,0.0004,0.4576
farm7,2021-11-13,2022-02-08,0.4869,0.6528,0.6123,0.0401,0.0016,0.6245
farm7,2021-11-13,2022-02-18,0.5378,0.7906,0.7386,0.0588,0.0035,0.7593
farm7,2021-11-13,2022-02-28,0.565,0.8011,0.7358,0.0569,0.0032,0.7521
farm7,2021-11-13,2022-03-13,0.5417,0.7314,0.6673,0.0399,0.0016,0.6733
farm7,2021-11-13,2022-03-23,0.4727,0.6586,0.5668,0.0397,0.0016,0.5628
farm7,2021-11-13,2022-04-04,0.2524,0.4493,0.3124,0.0434,0.0019,0.2991
farm7,2021-11-13,2022-04-14,0.1611,0.379,0.2449,0.0428,0.0018,0.2355
farm7,2021-11-13,2022-04-24,0.1643,0.4054,0.2191,0.0559,0.0031,0.1994
farm7,2022-11-18,2022-11-18,0.1332,0.4922,0.2083,0.0941,0.0089,0.1617
farm7,2022-11-18,2022-11-30,0.2175,0.5064,0.2932,0.0739,0.0055,0.2611
farm7,2022-11-18,2022-12-10,0.3731,0.5385,0.4337,0.0383,0.0015,0.4268
farm7,2022-11-18,2023-01-12,0.4201,0.6411,0.5729,0.047,0.0022,0.5831
farm7,2022-11-18,2023-02-03,0.4788,0.7543,0.7077,0.0689,0.0048,0.7357
farm7,2022-11-18,2023-02-13,0.4998,0.8064,0.7575,0.0771,0.0059,0.7911
farm7,2022-11-18,2023-02-26,0.47,0.7102,0.6741,0.0526,0.0028,0.6942
farm7,2022-11-18,2023-03-08,0.4424,0.7155,0.6691,0.0637,0.0041,0.6941
farm7,2022-11-18,2023-04-09,0.1859,0.4605,0.28,0.0568,0.0032,0.2693
farm8,2020-11-05,2020-11-05,0.2028,0.3216,0.2829,0.0265,0.0007,0.285
farm8,2020-11-05,2020-11-13,0.2121,0.2633,0.2367,0.0117,0.0001,0.2367
farm8,2020-11-05,2020-11-28,0.2385,0.3212,0.2621,0.0142,0.0002,0.2607
farm8,2020-11-05,2020-12-08,0.2755,0.337,0.3119,0.0125,0.0002,0.3126
farm8,2020-11-05,2020-12-20,0.4109,0.5585,0.4737,0.0355,0.0013,0.4739
farm8,2020-11-05,2021-02-01,0.5992,0.6486,0.6289,0.0117,0.0001,0.6297
farm8,2020-11-05,2021-02-11,0.635,0.6716,0.6581,0.0072,0.0001,0.658
farm8,2020-11-05,2021-03-05,0.6947,0.746,0.7243,0.0107,0.0001,0.7264
farm8,2020-11-05,2021-03-15,0.5288,0.5566,0.5426,0.0079,0.0001,0.5421
farm8,2020-11-05,2021-03-28,0.419,0.4721,0.4487,0.0119,0.0001,0.4474
farm8,2020-11-05,2021-04-07,0.3113,0.45,0.3641,0.0319,0.001,0.3672
farm8,2020-11-05,2021-04-19,0.1844,0.3358,0.2158,0.0268,0.0007,0.2122
farm8,2020-11-05,2021-04-29,0.1848,0.2815,0.2073,0.0166,0.0003,0.2045
farm8,2021-11-13,2021-11-13,0.0868,0.1929,0.1525,0.0257,0.0007,0.1528
farm8,2021-11-13,2021-11-23,0.0957,0.168,0.1267,0.0191,0.0004,0.1257
farm8,2021-11-13,2021-12-25,0.3173,0.3881,0.3507,0.0193,0.0004,0.3519
farm8,2021-11-13,2022-02-08,0.5761,0.6437,0.6186,0.0175,0.0003,0.6213
farm8,2021-11-13,2022-02-18,0.5428,0.7782,0.728,0.0558,0.0031,0.7473
farm8,2021-11-13,2022-02-28,0.5443,0.7819,0.7393,0.0574,0.0033,0.7597
farm8,2021-11-13,2022-03-13,0.5167,0.7269,0.6911,0.0518,0.0027,0.7106
farm8,2021-11-13,2022-03-23,0.5067,0.6681,0.6387,0.0414,0.0017,0.6564
farm8,2021-11-13,2022-04-04,0.3192,0.5262,0.4673,0.0478,0.0023,0.4753
farm8,2021-11-13,2022-04-14,0.2423,0.2964,0.2683,0.0108,0.0001,0.268
farm8,2021-11-13,2022-04-24,0.2361,0.2886,0.2613,0.0149,0.0002,0.2617
farm8,2022-11-18,2022-11-18,0.2412,0.3491,0.2718,0.0244,0.0006,0.2677
farm8,2022-11-18,2022-11-30,0.3993,0.5401,0.4701,0.0339,0.0011,0.4762
farm8,2022-11-18,2022-12-10,0.4746,0.6476,0.5769,0.0401,0.0016,0.5874
farm8,2022-11-18,2023-01-12,0.5231,0.6565,0.6225,0.0337,0.0011,0.6319
farm8,2022-11-18,2023-02-13,0.6068,0.8047,0.7721,0.051,0.0026,0.791
farm8,2022-11-18,2023-02-26,0.5985,0.7032,0.6855,0.0269,0.0007,0.6941
farm8,2022-11-18,2023-03-08,0.5396,0.6913,0.6627,0.0369,0.0014,0.6757
farm8,2022-11-18,2023-04-09,0.1799,0.3597,0.2525,0.0388,0.0015,0.25
farm9,2020-11-05,2020-11-05,0.2146,0.3211,0.2832,0.0209,0.0004,0.2836
farm9,2020-11-05,2020-11-13,0.1941,0.2602,0.23,0.0147,0.0002,0.2323
farm9,2020-11-05,2020-11-28,0.2143,0.2964,0.2509,0.0149,0.0002,0.2533
farm9,2020-11-05,2020-12-08,0.2686,0.3222,0.3034,0.0118,0.0001,0.3039
farm9,2020-11-05,2020-12-20,0.392,0.5177,0.4553,0.0291,0.0008,0.4545
farm9,2020-11-05,2021-02-01,0.585,0.6457,0.627,0.014,0.0002,0.6315
farm9,2020-11-05,2021-02-11,0.6182,0.6789,0.6581,0.0132,0.0002,0.661
farm9,2020-11-05,2021-03-05,0.6957,0.7454,0.7283,0.011,0.0001,0.7295
farm9,2020-11-05,2021-03-15,0.5019,0.5635,0.5406,0.0129,0.0002,0.542
farm9,2020-11-05,2021-03-28,0.4348,0.4896,0.4584,0.0128,0.0002,0.4577
farm9,2020-11-05,2021-04-07,0.3469,0.4759,0.3964,0.0321,0.001,0.3917
farm9,2020-11-05,2021-04-19,0.1947,0.2545,0.2179,0.0141,0.0002,0.2144
farm9,2020-11-05,2021-04-29,0.1819,0.2358,0.2017,0.0099,0.0001,0.2016
farm9,2021-11-13,2021-11-13,0.0809,0.2483,0.1527,0.0445,0.002,0.1458
farm9,2021-11-13,2021-11-23,0.1088,0.1747,0.1333,0.0178,0.0003,0.1298
farm9,2021-11-13,2021-12-25,0.2712,0.4372,0.3687,0.0375,0.0014,0.3697
farm9,2021-11-13,2022-02-08,0.5008,0.6397,0.6003,0.0272,0.0007,0.6042
farm9,2021-11-13,2022-02-18,0.4188,0.7759,0.7182,0.0652,0.0043,0.7366
farm9,2021-11-13,2022-02-28,0.3754,0.792,0.7322,0.0693,0.0048,0.7498
farm9,2021-11-13,2022-03-13,0.4144,0.7279,0.6781,0.0532,0.0028,0.6904
farm9,2021-11-13,2022-03-23,0.3457,0.6676,0.6203,0.0503,0.0025,0.6325
farm9,2021-11-13,2022-04-04,0.2304,0.4791,0.4146,0.0413,0.0017,0.4133
farm9,2021-11-13,2022-04-14,0.2411,0.3022,0.2654,0.0148,0.0002,0.2641
farm9,2021-11-13,2022-04-24,0.1794,0.384,0.2226,0.0363,0.0013,0.2091
farm9,2022-11-18,2022-11-18,0.2124,0.377,0.2564,0.0296,0.0009,0.252
farm9,2022-11-18,2022-11-30,0.3761,0.5551,0.4497,0.0398,0.0016,0.4426
farm9,2022-11-18,2022-12-10,0.4154,0.6434,0.5655,0.042,0.0018,0.571
farm9,2022-11-18,2023-01-12,0.4159,0.6555,0.6074,0.0415,0.0017,0.6161
